"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize"
"NULL","William Giauque","{Nobel Prize in Chemistry|Willard Gibbs Award|Elliott Cresson Medal}","1895-05-12","1895-01-01T00:00:00+02:00","{Niagara Falls Ontario|Canada}","1982-03-28","{Berkeley California|California}","NULL","United States","NULL","University of California Berkeley","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|AmericanChemists|AmericanNobelLaureates|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNiagaraFallsOntario|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","Eugenio Montale","NULL","1896-10-12","1896-01-01T00:00:00+02:00","Genoa","1981-09-12","Milan","NULL","NULL","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|ItalianLifeSenators|ItalianNobelLaureates|ItalianPoets|Lawgiver110249270|Acquirer109764201|ActionParty(Italy)Politicians|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Poet110444194|Politician110451263|Recipient109627906|Senator110578471|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInLiterature|PeopleFromGenoa|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Philip Showalter Hench","Nobel Prize in Physiology or Medicine","1896-02-28","1896-01-01T00:00:00+02:00","{Pittsburgh|United States}","{1896-02-28|1965-03-30}","NULL","NULL","NULL","NULL","{University of Pittsburgh|Lafayette College}","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|AmericanEndocrinologists|AmericanNobelLaureates|AmericanPhysicians|CausalAgent100007347|Doctor110020890|Endocrinologist110056914|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Robert S. Mulliken","{Nobel Prize in Chemistry|Priestley Medal}","1896-06-07","1896-01-01T00:00:00+02:00","Newburyport Massachusetts","1986-10-31","Arlington County Virginia","NULL","United States","NULL","{Massachusetts Institute of Technology|University of Chicago}","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GuggenheimFellows|HarvardUniversityAlumni|TheoreticalChemists|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|AmericanPeopleOfScottishDescent|AmericanPhysicists|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNewburyportMassachusetts|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry"
"Gerty Theresa Radnitz","Gerty Cori","NULL","1896-08-15","1896-01-01T00:00:00+02:00","{Austria-Hungary|Prague|Austrian Empire}","1957-10-26","NULL","NULL","NULL","NULL","{Prague|Charles University in Prague}","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|JewishAmericanScientists|WomenNobelLaureates|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AmericanPeopleOfCzech-JewishDescent|AustrianEmigrantsToTheUnitedStates|AustrianNobelLaureates|Biochemist109854915|CausalAgent100007347|Chemist109913824|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|CzechNobelLaureates|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBuffaloNewYork|PeopleFromPrague|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"Nikolay Nikolayevich Semyonov","Nikolay Semyonov","Nobel Prize in Chemistry","1896-01-01T00:00:00+02:00","1896-01-01T00:00:00+02:00","{Saratov|Russian Empire}","1986-09-25","NULL","NULL","NULL","NULL","NULL","{Chemistry|Physicist}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HeroesOfSocialistLabourTwice|LeninPrizeWinners|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Gambler110118844|Hero110325013|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|RussianChemists|RussianNobelLaureates|RussianPhysicists|SaintPetersburgStateUniversityAlumni|SovietChemists|SovietPhysicists|StalinPrizeWinners|Winner110782791|NobelLaureatesInChemistry|PeopleFromSaratov|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","Carl Ferdinand Cori","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","1896-12-05","1896-01-01T00:00:00+02:00","Prague","1984-10-20","Cambridge Massachusetts","NULL","Austria","NULL","{Charles University in Prague|First_Faculty_of_Medicine}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityPeople|20th-centuryAmericanPeople|20th-centuryAustrianPeople|20th-centuryCzechPeople|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AustrianBiochemists|AustrianNobelLaureates|Austro-HungarianEmigrantsToTheUnitedStates|Austro-HungarianPeople|Biochemist109854915|CausalAgent100007347|Chemist109913824|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|CzechBiochemists|CzechNobelLaureates|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBuffaloNewYork|PeopleFromPrague|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Irène Joliot-Curie","Nobel Prize in Chemistry","1897-09-12","1897-01-01T00:00:00+02:00","NULL","1956-03-17","NULL","French people","France","NULL","University of Paris","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|WomenChemists|WomenNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Disputant109615465|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Object100002684|Organism100004475|Person100007846|Politician110450303|Recipient109627906|Reformer110515194|Scientist110560637|Socialist110618848|Whole100003553|YagoLegalActorGeo|FrenchActivists|FrenchNobelLaureates|FrenchPeopleOfPolishDescent|FrenchScientists|FrenchSocialists|PhysicalEntity100001930|NobelLaureatesInChemistry|NuclearChemist110364502|NuclearChemists|PeopleFromParis|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","Georg Wittig","Nobel Prize in Chemistry","1897-06-16","1897-01-01T00:00:00+02:00","{Berlin|German Empire}","1987-08-26","{Heidelberg|West Germany}","NULL","NULL","NULL","University of Marburg","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromBerlin|YagoLegalActor}","Nobel Prize in Chemistry"
"Patrick Maynard Stuart Blackett","Patrick Blackett Baron Blackett","Nobel Prize in Physics","1897-11-18","1897-01-01T00:00:00+02:00","{England|London}","1974-07-13","{England|London}","NULL","United Kingdom","NULL","{Osborne House|University of Cambridge}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LabourParty(UK)LifePeers|Academician109759069|AcademicsOfBirkbeckUniversityOfLondon|AcademicsOfImperialCollegeLondon|AcademicsOfTheVictoriaUniversityOfManchester|Acquirer109764201|Adult109605289|AlumniOfKing'sCollegeCambridge|AlumniOfMagdaleneCollegeCambridge|Alumnus109786338|Aristocrat109807754|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishPhysicists|ExperimentalPhysicists|FellowsOfKing'sCollegeCambridge|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInPhysics|OperationsResearchers|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Ronald George Wreyford Norrish","{Royal Society|Nobel Prize in Chemistry}","1897-11-09","1897-01-01T00:00:00+02:00","{England|Cambridge|United Kingdom}","1978-06-07","{England|Cambridge|United Kingdom}","NULL","United Kingdom","NULL","University of Cambridge","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WorldWarIPrisonersOfWar|Acquirer109764201|Adult109605289|AlumniOfEmmanuelCollegeCambridge|Alumnus109786338|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Prisoner110476086|PrisonerOfWar110476331|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|EnglishChemists|FaradayLecturers|FellowsOfEmmanuelCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleEducatedAtThePerseSchool|PeopleFromCambridge|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","John Cockcroft","NULL","1897-05-27","1897-01-01T00:00:00+02:00","Todmorden","1967-09-18","Cambridge","NULL","NULL","NULL","{St John's College Cambridge|University of Manchester Institute of Science and Technology|Victoria University of Manchester}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|MastersOfChurchillCollegeCambridge|Acquirer109764201|Adviser109774266|AlumniOfStJohn'sCollegeCambridge|AlumniOfTheUniversityOfManchesterInstituteOfScienceAndTechnology|AlumniOfTheVictoriaUniversityOfManchester|Alumnus109786338|Artist109812338|Associate109816771|Authority109824361|BritishNobelLaureates|BritishNuclearPhysicists|CausalAgent100007347|Colleague109935990|CommandingOfficer109941964|Communicator109610660|Contestant109613191|Creator109614315|Expert109617867|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Maestro110280130|Medalist110304914|MilitaryOfficer110317007|Negotiator110351874|NuclearPhysicist110364643|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Soldier110622053|Whole100003553|Worker109632518|YagoLegalActorGeo|ChiefScientificAdvisersToTheMinistryOfDefence|CommandersOfTheOrderOfTheBritishEmpire|EnglishPhysicists|EnlistedPerson110058777|ExperimentalPhysicists|FellowsOfChurchillCollegeCambridge|FellowsOfStJohn'sCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheInstituteOfPhysics|PresidentsOfThePhysicalSociety|RoyalArtillerySoldiers|RoyalMedalWinners|NobelLaureatesInPhysics|PeopleFromTodmorden|YagoLegalActor}","Nobel Prize in Physics"
"NULL","John Franklin Enders","Nobel Prize in Physiology or Medicine","1897-02-10","1897-01-01T00:00:00+02:00","West Hartford Connecticut","1985-09-08","Waterford Connecticut","NULL","NULL","NULL","Yale University","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|UnitedStatesArmyAirForcesSoldiers|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanMedicalResearchers|AmericanNobelLaureates|AmericanScientists|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Soldier110622053|Whole100003553|Worker109632518|YagoLegalActorGeo|EnlistedPerson110058777|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|St.Paul'sSchool(ConcordNewHampshire)Alumni|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWestHartfordConnecticut|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Odd Hassel","Nobel Prize in Chemistry","1897-05-17","1897-01-01T00:00:00+02:00","{Norway|Oslo}","1981-05-11","NULL","NULL","Norway","NULL","University of Oslo","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GriniConcentrationCampSurvivors|Acquirer109764201|BergConcentrationCampSurvivors|BredtveitConcentrationCampSurvivors|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|NorwegianChemists|NorwegianNobelLaureates|PeopleFromOslo|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","Tadeus Reichstein","Nobel Prize in Physiology or Medicine","1897-07-20","1897-01-01T00:00:00+02:00","{Włocławek|Congress Poland}","1996-08-01","{Basel|Switzerland}","Switzerland","Poland","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishScientists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|PhysicalEntity100001930|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromJena|PeopleFromKiev|PeopleFromW%C5%82oc%C5%82awek|PolishChemists|PolishNobelLaureates|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"Lester Bowles Pearson","Lester B. Pearson","NULL","1897-04-23","1897-01-01T00:00:00+02:00","{Ontario|York Ontario|Toronto|Newtonbrook}","1972-12-27","Ottawa","NULL","NULL","NULL","{University of Oxford|University of Toronto}","NULL","{agent|person|politician|prime minister|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Politician|PrimeMinister_HeadOfGovernment|LeadersOfTheLiberalPartyOfCanada|LeadersOfTheOpposition(Canada)|Acquirer109764201|Administrator109770949|AlumniOfStJohn'sCollegeOxford|Alumnus109786338|Ambassador109787534|AmbassadorsOfCanadaToTheUnitedStates|Associate109816771|Athlete109820263|CanadianDiplomats|CanadianHistorians|CanadianIceHockeyPlayers|CanadianNobelLaureates|CanadianPeopleOfAmericanDescent|CanadianPeopleOfAnglo-IrishDescent|CanadianSecretariesOfStateForExternalAffairs|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diplomat110013927|Executive110069645|Friend110112591|Head110162991|HeadOfState110164747|Historian110177150|HockeyPlayer110179291|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|MilitaryOfficer110317007|Minister110320863|Negotiator110351874|Object100002684|Official110372373|Organism100004475|Peer109626238|Person100007846|Player110439851|President110467179|Recipient109627906|Representative110522035|Scholar110557854|Secretary110570019|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|ColdWarLeaders|Companion109945905|CompanionsOfTheOrderOfCanada|FellowsOfStJohn'sCollegeOxford|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|PresidentsOfTheUnitedNationsGeneralAssembly|PrimeMinistersOfCanada|NationalHistoricPersonsOfCanada|NobelPeacePrizeLaureates|OfficersOfTheOrderOfTheBritishEmpire|PeopleFromToronto|YagoLegalActor}","Nobel Peace Prize"
"William Cuthbert Falkner","William Faulkner","NULL","1897-09-25","1897-01-01T00:00:00+02:00","Oxford Mississippi","1962-07-06","Byhalia Mississippi","NULL","NULL","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|WritersFromMississippi|Acquirer109764201|AmericanNobelLaureates|AmericanNovelists|AmericanShortStoryWriters|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|PostmodernWriters|NobelLaureatesInLiterature|PeopleFromOxfordMississippi|PeopleFromUnionCountyMississippi|YagoLegalActor}","Nobel Prize in Literature"
"Cyril Norman Hinshelwood","Cyril Norman Hinshelwood","{Royal Society|Nobel Prize in Chemistry}","1897-06-19","1897-01-01T00:00:00+02:00","{England|London}","1967-10-09","NULL","NULL","NULL","NULL","Balliol College Oxford","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|AlumniOfBalliolCollegeOxford|Alumnus109786338|Associate109816771|BritishAcademics|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Medalist110304914|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishChemists|EnglishPhysicists|FaradayLecturers|FellowsOfTheRoyalSociety|FellowsOfTrinityCollegeOxford|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInChemistry|PeopleEducatedAtWestminsterCitySchool|PeopleFromLondon|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry"
"Israel Isaac Rabi","Isidor Isaac Rabi","{Public Welfare Medal|Nobel Prize in Physics|Elliott Cresson Medal|Medal for Merit}","1898-07-29","1898-01-01T00:00:00+02:00","{Austria-Hungary|Kingdom of Galicia and Lodomeria|Rymanów}","1988-01-11","NULL","NULL","NULL","NULL","{Columbia University|Cornell University}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|JewishInventors|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPeopleOfPolishDescent|AmericanPhysicists|Austro-HungarianNobelLaureates|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|CornellUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromRyman%C3%B3w|PolishNobelLaureates|PolishNuclearPhysicists|PolishPhysicists|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Gunnar Myrdal","Nobel Memorial Prize in Economic Sciences","1898-12-06","1898-01-01T00:00:00+02:00","{Sweden|Dalarna}","1987-05-17","{Sweden|Danderyd Municipality}","NULL","Sweden","NULL","Stockholm University","{Economics|Politics|Sociology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Politician110451263|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|DevelopmentEconomists|PhysicalEntity100001930|StockholmUniversityAlumni|SwedishEconomists|SwedishNobelLaureates|SwedishSocialDemocraticPartyPoliticians|NobelLaureatesInEconomics|PeopleFromOrsaMunicipality|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences"
"NULL","Albert Lutuli","NULL","1898-01-01T00:00:00+02:00","1898-01-01T00:00:00+02:00","{Southern Rhodesia|Bulawayo}","1967-07-21","{South Africa|KwaZulu-Natal|KwaDukuza}","NULL","NULL","NULL","NULL","NULL","{agent|person|politician|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Politician|ZuluPeople|Acquirer109764201|Advocate109774783|AnglicanSaints|Anti-apartheidActivists|Autobiographer109825296|Autobiographers|Biographer109855433|CausalAgent100007347|Clergyman109927451|Communicator109610660|Convert109962414|Disputant109615465|GoodPerson110138767|HeadOfState110164747|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Negotiator110351874|Object100002684|Organism100004475|Person100007846|Politician110451263|President110467179|Recipient109627906|Reformer110515194|Representative110522035|Saint110546850|SpiritualLeader109505153|Whole100003553|Writer110794014|YagoLegalActorGeo|ConvertsToMethodism|Curate109983572|PhysicalEntity100001930|PresidentsOfTheAfricanNationalCongress|RectorsOfTheUniversityOfGlasgow|SouthAfricanNobelLaureates|SouthAfricanNon-fictionWriters|NobelPeacePrizeLaureates|NonviolenceAdvocates|PeopleAcquittedOfTreason|YagoLegalActor}","Nobel Peace Prize"
"NULL","Vicente Aleixandre","NULL","1898-04-26","1898-01-01T00:00:00+02:00","{Spain|Seville}","{1984-12-13|1984-12-14}","{Spain|Madrid}","NULL","Spain","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|Writer|Acquirer109764201|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Poet110444194|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|SpanishNobelLaureates|SpanishPoets|NobelLaureatesInLiterature|PeopleFromSeville|YagoLegalActor}","Nobel Prize in Literature"
"Howard Walter Florey","Howard Florey","{Knight Bachelor|Royal Society|Nobel Prize in Physiology or Medicine|Lister Medal}","1898-09-24","1898-01-01T00:00:00+02:00","{Adelaide|South Australia}","1968-02-21","Oxford","NULL","NULL","NULL","{Magdalen College Oxford|University of Adelaide}","{Immunology|Bacteriology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LifePeers|AcademicAdministrator109758885|Academician109759069|AcademicsOfTheUniversityOfSheffield|Acquirer109764201|Administrator109770949|Adult109605289|Agnostic109779124|AlumniOfMagdalenCollegeOxford|Alumnus109786338|Aristocrat109807754|Associate109816771|AustralianAgnostics|AustralianKnights|AustralianNobelLaureates|AustralianPathologists|AustralianPeers|AustralianPharmacologists|AustralianRhodesScholars|AustralianScientists|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diagnostician110011074|Doctor110020890|Educator110045713|Golfer110136959|Head110162991|HeadOfState110164747|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Pharmacist110421470|Pharmacologist110421753|Player110439851|President110467179|Professional110480253|Provost110486468|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfLincolnCollegeOxford|FellowsOfTheQueen'sCollegeOxford|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|MedicalPractitioner110305802|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|ProvostsOfTheQueen'sCollegeOxford|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtStPeter'sCollegeAdelaide|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Karl Ziegler","{Nobel Prize in Chemistry|Werner von Siemens Ring|Liebig Medal|War Merit Cross}","1898-11-26","1898-01-01T00:00:00+02:00","{German Empire|Helsa}","1973-08-12","{West Germany|Mülheim}","NULL","NULL","NULL","University of Marburg","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHesse-Nassau|PolymerScientistsAndEngineers|YagoLegalActor}","Nobel Prize in Chemistry"
