"name","Alma_mater"
"Michael Smith (chemist)","University of Manchester"
"Sheldon Lee Glashow","Harvard University"
"Sheldon Lee Glashow","Cornell University"
"Dudley R. Herschbach","Stanford University"
"Dudley R. Herschbach","Harvard University"
"Oliver E. Williamson","Massachusetts Institute of Technology"
"Oliver E. Williamson","Stanford University"
"Oliver E. Williamson","Carnegie Mellon University"
"Oliver E. Williamson","Master of Business Administration"
"Oliver E. Williamson","Bachelor of Science"
"Oliver E. Williamson","Doctor of Philosophy"
"Pierre-Gilles de Gennes","École Normale Supérieure"
"Robert Mundell","Massachusetts Institute of Technology"
"Robert Mundell","UBC Vancouver School of Economics"
"Robert Mundell","University of Washington"
"Robert Mundell","London School of Economics"
"Walter Gilbert","Harvard University"
"Walter Gilbert","University of Cambridge"
"François Englert","Université libre de Bruxelles"
"Melvin Schwartz","Columbia University"
"Elinor Ostrom","University of California Los Angeles"
"Peter Mansfield","Queen Mary University of London"
"Peter Mansfield","University of London"
"Steven Weinberg","Princeton University"
"Steven Weinberg","Cornell University"
"Edmund Phelps","Amherst College"
"Edmund Phelps","Yale University"
"John Gurdon","Christ Church Oxford"
"Arno Allan Penzias","Columbia University"
"Arno Allan Penzias","City College of New York"
"Robert Curl","Rice University"
"Robert Curl","University of California Berkeley"
"Amartya Sen","Presidency University Kolkata"
"Amartya Sen","University of Cambridge"
"Charles K. Kao","University of Greenwich"
"Charles K. Kao","University College London"
"Charles K. Kao","University of London"
"John L. Hall","Carnegie Institute of Technology"
"Daniel Kahneman","University of California Berkeley"
"Daniel Kahneman","Hebrew University of Jerusalem"
"Howard Martin Temin","California Institute of Technology"
"Howard Martin Temin","Swarthmore College"
"Carlo Rubbia","Columbia University"
"Carlo Rubbia","Scuola Normale Superiore di Pisa"
"William Forsyth Sharpe","University of California Los Angeles"
"Clive Granger","University of Nottingham"
"Ei-ichi Negishi","University of Pennsylvania"
"Ei-ichi Negishi","University of Tokyo"
"Yuan T. Lee","University of California Berkeley"
"Yuan T. Lee","National Taiwan University"
"Yuan T. Lee","National Tsing Hua University"
"Günter Blobel","University of Tübingen"
"Günter Blobel","University of Wisconsin–Madison"
"Mario Vargas Llosa","Complutense University of Madrid"
"Mario Vargas Llosa","National University of San Marcos"
"James Mirrlees","University of Cambridge"
"James Mirrlees","University of Edinburgh"
"Alan J. Heeger","University of Nebraska–Lincoln"
"Alan J. Heeger","University of California Berkeley"
"Robert Woodrow Wilson","California Institute of Technology"
"Robert Woodrow Wilson","Rice University"
"F. W. de Klerk","Potchefstroom University for Christian Higher Education"
"Gerhard Ertl","University of Stuttgart"
"Gerhard Ertl","Technische Universität München"
"Ferid Murad","DePauw University"
"Ferid Murad","Case Western Reserve University School of Medicine"
"Hideki Shirakawa","Tokyo Institute of Technology"
"Samuel C. C. Ting","University of Michigan"
"Kenneth G. Wilson","California Institute of Technology"
"Kenneth G. Wilson","Harvard University"
"Mario Capecchi","Ohio"
"Mario Capecchi","Antioch College"
"Mario Capecchi","Harvard University"
"Mario Capecchi","George School"
"John Hume","St Patrick's College Maynooth"
"John Hume","St Columb's College"
"Roald Hoffmann","Columbia University"
"Roald Hoffmann","Stuyvesant High School"
"Roald Hoffmann","Harvard University"
"Robert Coleman Richardson","Duke University"
"Robert Coleman Richardson","Virginia Tech"
"Robert Lucas Jr.","University of Chicago"
"Robin Warren","University of Adelaide"
"Daniel McFadden","University of Minnesota"
"Martti Ahtisaari","University of Oulu"
"Ellen Johnson Sirleaf","Wisconsin School of Business"
"Ellen Johnson Sirleaf","John F. Kennedy School of Government"
"Ryōji Noyori","Harvard University"
"Ryōji Noyori","Kyoto University"
"Ryōji Noyori","Nagoya University"
"Kofi Annan","Graduate Institute of International and Development Studies"
"Kofi Annan","Macalester College"
"Kofi Annan","MIT Sloan School of Management"
"Kofi Annan","Kwame Nkrumah University of Science and Technology"
"Kofi Annan","University of Geneva"
"Kurt Wüthrich","University of Basel"
"Kurt Wüthrich","University of Bern"
"Anthony James Leggett","University of Oxford"
"Albert Fert","École normale supérieure"
"David Baltimore","Swarthmore College"
"David Baltimore","Rockefeller University"
"Eugene Fama","University of Chicago"
"Eugene Fama","Tufts University"
"Peter Grünberg","Technische Universität Darmstadt"
"Sidney Altman","Massachusetts Institute of Technology"
"Sidney Altman","University of Colorado Boulder"
"Harold E. Varmus","Harvard University"
"Harold E. Varmus","Amherst College"
"Harold E. Varmus","Columbia University"
"Harry Kroto","University of Sheffield"
"Susumu Tonegawa","University of California San Diego"
"Susumu Tonegawa","Salk Institute for Biological Studies"
"Susumu Tonegawa","Kyoto University"
"Leland H. Hartwell","California Institute of Technology"
"Leland H. Hartwell","Massachusetts Institute of Technology"
"Ada Yonath","Weizmann Institute of Science"
"Ada Yonath","Hebrew University of Jerusalem"
"Dale T. Mortensen","Willamette University"
"Dale T. Mortensen","Carnegie Mellon University"
"Daniel C. Tsui","University of Chicago"
"Daniel C. Tsui","Augustana College (Illinois)"
"J. M. Coetzee","University of Cape Town"
"J. M. Coetzee","University of Texas at Austin"
"Thomas A. Steitz","Lawrence University"
"Thomas A. Steitz","Harvard University"
"Thomas A. Steitz","Wauwatosa East High School"
"Gao Xingjian","Beijing Foreign Studies University"
"George Akerlof","Massachusetts Institute of Technology"
"George Akerlof","Yale University"
"George Akerlof","Lawrenceville School"
"Peter C. Doherty","University of Queensland"
"Peter C. Doherty","University of Edinburgh"
"Peter Diamond","Massachusetts Institute of Technology"
"Peter Diamond","Yale University"
"Toshihide Maskawa","Nagoya University"
"Edward C. Prescott","Carnegie Mellon University"
"Edward C. Prescott","Case Western Reserve University"
"Edward C. Prescott","Swarthmore College"
"Joseph L. Goldstein","Washington and Lee University"
"Joseph L. Goldstein","University of Texas Southwestern Medical Center"
"Arieh Warshel","Weizmann Institute of Science"
"Arieh Warshel","Technion – Israel Institute of Technology"
"Muhammad Yunus","University of Dhaka"
"Brian Josephson","University of Cambridge"
"Wangari Maathai","Benedictine College"
"Óscar Arias","University of Essex"
"Óscar Arias","Boston University"
"Óscar Arias","London School of Economics"
"Óscar Arias","University of Costa Rica"
"Theodor W. Hänsch","Heidelberg University"
"Louis Ignarro","Columbia University"
"Louis Ignarro","University of Minnesota"
"Michael Stuart Brown","University of Pennsylvania"
"Michael Stuart Brown","Perelman School of Medicine at the University of Pennsylvania"
"John E. Walker","University of Oxford"
"Joseph Hooton Taylor Jr.","Harvard University"
"Joseph Hooton Taylor Jr.","Haverford College"
"Jules A. Hoffmann","University of Strasbourg"
"Alfred G. Gilman","Case Western Reserve University"
"David Gross","University of California Berkeley"
"David Gross","Hebrew University of Jerusalem"
"Myron Scholes","University of Chicago"
"Myron Scholes","McMaster University"
"Martin Evans","Christ's College Cambridge"
"Martin Evans","University College London"
"Dan Shechtman","Technion – Israel Institute of Technology"
"Karl Barry Sharpless","Dartmouth College"
"Karl Barry Sharpless","Stanford University"
"Karl Barry Sharpless","Harvard University"
"Stanley B. Prusiner","University of Pennsylvania"
"Stanley B. Prusiner","Perelman School of Medicine at the University of Pennsylvania"
"Robert F. Engle","Williams College"
"Robert F. Engle","Cornell University"
"Robert H. Grubbs","Columbia University"
"Robert H. Grubbs","University of Florida"
"Mohamed ElBaradei","Graduate Institute of International and Development Studies"
"Mohamed ElBaradei","Cairo University"
"Mohamed ElBaradei","New York University School of Law"
"Christiane Nüsslein-Volhard","University of Tübingen"
"Christopher A. Sims","Harvard University"
"Christopher A. Sims","University of California Berkeley"
"John Sulston","Pembroke College Cambridge"
"Thomas J. Sargent","Harvard University"
"Thomas J. Sargent","University of California Berkeley"
"Thomas J. Sargent","Bachelor of Arts"
"Thomas J. Sargent","Doctor of Philosophy"
"Tim Hunt","Clare College Cambridge"
"Michael Spence","Princeton University"
"Michael Spence","Harvard University"
"Michael Spence","University of Oxford"
"Mario J. Molina","University of Freiburg"
"Mario J. Molina","University of California Berkeley"
"Mario J. Molina","National Autonomous University of Mexico"
"Johann Deisenhofer","Technische Universität München"
"Joseph Stiglitz","Massachusetts Institute of Technology"
"Joseph Stiglitz","Amherst College"
"Joseph Stiglitz","University of Chicago"
"Ralph M. Steinman","Harvard University"
"Ralph M. Steinman","McGill University"
"Richard J. Roberts","University of Sheffield"
"Richard Smalley","Princeton University"
"Richard Smalley","University of Michigan"
"Robert Lefkowitz","Columbia University"
"Finn E. Kydland","Carnegie Mellon University"
"Finn E. Kydland","Norwegian School of Economics"
"Erwin Neher","Technische Universität München"
"Erwin Neher","University of Wisconsin–Madison"
"Makoto Kobayashi (physicist)","Nagoya University"
"Serge Haroche","École Normale Supérieure"
"James Heckman","Princeton University"
"James Heckman","Colorado College"
"Phillip Allen Sharp","Union College (Kentucky)"
"Phillip Allen Sharp","University of Illinois at Urbana–Champaign"
"Robert C. Merton","California Institute of Technology"
"Robert C. Merton","Columbia University"
"Robert C. Merton","Massachusetts Institute of Technology"
"David J. Wineland","Harvard University"
"David J. Wineland","University of California Berkeley"
"David J. Wineland","University of Washington"
"David Trimble","Queen's University Belfast"
"Kary Mullis","Georgia Institute of Technology"
"Douglas Osheroff","California Institute of Technology"
"Douglas Osheroff","Cornell University"
"Aung San Suu Kyi","Lady Shri Ram College for Women"
"Aung San Suu Kyi","SOAS University of London"
"Aung San Suu Kyi","St Hugh's College Oxford"
"Richard R. Schrock","Harvard University"
"Richard R. Schrock","University of California Riverside"
"Richard R. Schrock","University of Cambridge"
"George Smoot","Massachusetts Institute of Technology"
"John C. Mather","University of California Berkeley"
"John C. Mather","Swarthmore College"
"Richard Axel","Columbia University"
"Richard Axel","Stuyvesant High School"
"Richard Axel","Johns Hopkins University"
"Gerard 't Hooft","Utrecht University"
"Ahmed Zewail","University of Pennsylvania"
"Ahmed Zewail","Alexandria University"
"Eric F. Wieschaus","Yale University"
"Eric F. Wieschaus","University of Notre Dame"
"Thomas Cech","Grinnell College"
"Thomas Cech","University of California Berkeley"
"H. Robert Horvitz","Massachusetts Institute of Technology"
"Michael Levitt","Peterhouse Cambridge"
"Michael Levitt","King's College London"
"Shirin Ebadi","University of Tehran"
"Gerd Binnig","Goethe University Frankfurt"
"Linda B. Buck","University of Washington"
"Linda B. Buck","Seattle"
"Martin Chalfie","Harvard University"
"Elizabeth Blackburn","University of Melbourne"
"Elizabeth Blackburn","University of Cambridge"
"Luise Druke","University of Hanover"
"Steven Chu","University of California Berkeley"
"Steven Chu","University of Rochester"
"Hartmut Michel","University of Tübingen"
"Randy Schekman","Stanford University"
"Randy Schekman","University of California Los Angeles"
"Randy Schekman","University of Edinburgh"
"Al Gore","Harvard University"
"Christopher A. Pissarides","University of Essex"
"Christopher A. Pissarides","London School of Economics"
"William Daniel Phillips","Massachusetts Institute of Technology"
"William Daniel Phillips","Juniata College"
"Paul Nurse","University of Birmingham"
"Paul Nurse","University of East Anglia"
"Peter Agre","Johns Hopkins University"
"Peter Agre","Augsburg College"
"Peter Agre","Case Western Reserve University School of Medicine"
"Horst Ludwig Störmer","Goethe University Frankfurt"
"Horst Ludwig Störmer","University of Stuttgart"
"Hugh David Politzer","Harvard University"
"Hugh David Politzer","University of Michigan"
"José Ramos-Horta","Columbia University"
"José Ramos-Horta","Antioch College"
"José Ramos-Horta","International Institute of Human Rights"
"José Ramos-Horta","Hague Academy of International Law"
"Eric Maskin","Harvard University"
"Russell Alan Hulse","University of Massachusetts Amherst"
"James Rothman","Harvard University"
"James Rothman","Yale University"
"Robert B. Laughlin","Massachusetts Institute of Technology"
"Robert B. Laughlin","University of California Berkeley"
"Roger Myerson","Harvard University"
"Alvin E. Roth","Columbia University"
"Alvin E. Roth","Stanford University"
"Frank Wilczek","Princeton University"
"Frank Wilczek","University of Chicago"
"Frank Wilczek","Doctor of Philosophy"
"Carl Wieman","Massachusetts Institute of Technology"
"Carl Wieman","Stanford University"
"Jack W. Szostak","Cornell University"
"Jack W. Szostak","McGill University"
"Roger Y. Tsien","Harvard University"
"Roger Y. Tsien","University of Cambridge"
"Lars Peter Hansen","University of Minnesota"
"Lars Peter Hansen","Utah State University"
"Venkatraman Ramakrishnan","Maharaja Sayajirao University of Baroda"
"Venkatraman Ramakrishnan","Ohio University"
"Venkatraman Ramakrishnan","University of California San Diego"
"Paul Krugman","Massachusetts Institute of Technology"
"Paul Krugman","Yale University"
"Thomas C. Südhof","University of Göttingen"
"Thomas C. Südhof","RWTH Aachen University"
"Thomas C. Südhof","Max Planck Institute for Biophysical Chemistry"
"Brian Kobilka","Yale University"
"Brian Kobilka","University of Minnesota Duluth"
"Liu Xiaobo","Beijing Normal University"
"Liu Xiaobo","Jilin University"
"Roderick MacKinnon","Brandeis University"
"Wolfgang Ketterle","Max Planck Institute of Quantum Optics"
"Wolfgang Ketterle","Heidelberg University"
"Wolfgang Ketterle","Ludwig Maximilian University of Munich"
"Wolfgang Ketterle","Technische Universität München"
"Bruce Beutler","University of California San Diego"
"Bruce Beutler","University of Chicago"
"Andre Geim","Moscow Institute of Physics and Technology"
"Koichi Tanaka","Tohoku University"
"Andrew Fire","Massachusetts Institute of Technology"
"Andrew Fire","University of California Berkeley"
"Saul Perlmutter","Harvard University"
"Saul Perlmutter","University of California Berkeley"
"Craig Mello","Brown University"
"Craig Mello","Harvard University"
"Eric Allin Cornell","Massachusetts Institute of Technology"
"Eric Allin Cornell","Stanford University"
"Barack Obama","Columbia University"
"Barack Obama","Occidental College"
"Barack Obama","Harvard University"
"Carol W. Greider","University of California Berkeley"
"Shinya Yamanaka","Kobe University"
"Shinya Yamanaka","Osaka City University"
"Ken Rutherford (political scientist)","Political science"
"Ken Rutherford (political scientist)","University of Colorado Boulder"
"Ken Rutherford (political scientist)","Georgetown University"
"Brian Schmidt","Harvard University"
"Brian Schmidt","University of Arizona"
"Adam Riess","Massachusetts Institute of Technology"
"Adam Riess","Harvard University"
"Adam Riess","University of California Berkeley"
"Konstantin Novoselov","Moscow Institute of Physics and Technology"
"Konstantin Novoselov","Radboud University Nijmegen"
