"name","nationality_label","prize","lat","lon"
"Robert Woodrow Wilson","United States","Nobel Prize in Physics","38","-97"
"Gerhard Ertl","Germany","Nobel Prize in Chemistry","51","9"
"Ferid Murad","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Samuel C. C. Ting","United States","Nobel Prize in Physics","38","-97"
"Kenneth G. Wilson","United States","Nobel Prize in Physics","38","-97"
"Mario Capecchi","United States","Nobel Prize in Physiology or Medicine","38","-97"
"John Hume","Ireland","Nobel Peace Prize","53","-8"
"Avram Hershko","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Robert Coleman Richardson","United States","Nobel Prize in Physics","38","-97"
"Robert Huber","Germany","Nobel Prize in Chemistry","51","9"
"Robert Lucas Jr.","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Robin Warren","Australia","Nobel Prize in Physiology or Medicine","-27","133"
"Daniel McFadden","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Ryōji Noyori","Japan","Nobel Prize in Chemistry","36","138"
"Kofi Annan","Ghana","Nobel Peace Prize","8","-2"
"Kurt Wüthrich","Switzerland","Nobel Prize in Chemistry","47","8"
"Albert Fert","France","Nobel Prize in Physics","46","2"
"Eugene Fama","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Peter Grünberg","Germany","Nobel Prize in Physics","51","9"
"Sidney Altman","Canada","Nobel Prize in Chemistry","60","-95"
"Susumu Tonegawa","Japan","Nobel Prize in Physiology or Medicine","36","138"
"Jean-Marie Lehn","France","Nobel Prize in Chemistry","46","2"
"Seamus Heaney","Ireland","Nobel Prize in Literature","53","-8"
"Ada Yonath","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Daniel C. Tsui","United States","Nobel Prize in Physics","38","-97"
"J. M. Coetzee","Australia","Nobel Prize in Literature","-27","133"
"J. M. G. Le Clézio","France","Nobel Prize in Literature","46","2"
"George Akerlof","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Peter C. Doherty","Australia","Nobel Prize in Physiology or Medicine","-27","133"
"Peter Diamond","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Toshihide Maskawa","Japan","Nobel Prize in Physics","36","138"
"Arieh Warshel","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Muhammad Yunus","Bangladesh","Nobel Peace Prize","24","90"
"Joseph Brodsky","Russian Federation","Nobel Prize in Literature","60","100"
"Theodor W. Hänsch","Germany","Nobel Prize in Physics","51","9"
"Louis Ignarro","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Joseph Hooton Taylor Jr.","United States","Nobel Prize in Physics","38","-97"
"Jules A. Hoffmann","France","Nobel Prize in Physiology or Medicine","46","2"
"Alfred G. Gilman","United States","Nobel Prize in Physiology or Medicine","38","-97"
"David Gross","United States","Nobel Prize in Physics","38","-97"
"Myron Scholes","Canada","Nobel Memorial Prize in Economic Sciences","60","-95"
"Martin Evans","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Karl Barry Sharpless","United States","Nobel Prize in Chemistry","38","-97"
"Robert F. Engle","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Robert H. Grubbs","United States","Nobel Prize in Chemistry","38","-97"
"Christiane Nüsslein-Volhard","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Christopher A. Sims","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"John Sulston","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Thomas J. Sargent","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Michael Spence","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Johann Deisenhofer","Germany","Nobel Prize in Chemistry","51","9"
"Ralph M. Steinman","Canada","Nobel Prize in Physiology or Medicine","60","-95"
"Finn E. Kydland","Norway","Nobel Memorial Prize in Economic Sciences","62","10"
"Erwin Neher","Germany","Nobel Prize in Physiology or Medicine","51","9"
"James Heckman","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Phillip Allen Sharp","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Robert C. Merton","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"David J. Wineland","United States","Nobel Prize in Physics","38","-97"
"David Trimble","United Kingdom","Nobel Peace Prize","54","-2"
"Richard R. Schrock","United States","Nobel Prize in Chemistry","38","-97"
"George Smoot","United States","Nobel Prize in Physics","38","-97"
"Elfriede Jelinek","Austria","Nobel Prize in Literature","47.33333333","13.33333333"
"John C. Mather","United States","Nobel Prize in Physics","38","-97"
"Georges J. F. Köhler","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Gerard 't Hooft","Netherlands","Nobel Prize in Physics","52.5","5.75"
"Ahmed Zewail","Egypt","Nobel Prize in Chemistry","27","30"
"Eric F. Wieschaus","United States","Nobel Prize in Physiology or Medicine","38","-97"
"H. Robert Horvitz","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Linda B. Buck","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Françoise Barré-Sinoussi","France","Nobel Prize in Physiology or Medicine","46","2"
"Aaron Ciechanover","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Luise Druke","Germany","Nobel Peace Prize","51","9"
"Hartmut Michel","Germany","Nobel Prize in Chemistry","51","9"
"Christopher A. Pissarides","Cyprus","Nobel Memorial Prize in Economic Sciences","35","33"
"Paul Nurse","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Peter Agre","United States","Nobel Prize in Chemistry","38","-97"
"Horst Ludwig Störmer","Germany","Nobel Prize in Physics","51","9"
"Hugh David Politzer","United States","Nobel Prize in Physics","38","-97"
"Eric Maskin","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Georg Bednorz","Germany","Nobel Prize in Physics","51","9"
"Russell Alan Hulse","United States","Nobel Prize in Physics","38","-97"
"Jody Williams","United States","Nobel Peace Prize","38","-97"
"Roger Myerson","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Frank Wilczek","United States","Nobel Prize in Physics","38","-97"
"Carl Wieman","United States","Nobel Prize in Physics","38","-97"
"Lars Peter Hansen","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Orhan Pamuk","Turkey","Nobel Prize in Literature","39","35"
"Herta Müller","Germany","Nobel Prize in Literature","51","9"
"Brian Kobilka","United States","Nobel Prize in Chemistry","38","-97"
"Roderick MacKinnon","United States","Nobel Prize in Chemistry","38","-97"
"Bruce Beutler","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Rigoberta Menchú","Guatemala","Nobel Peace Prize","15.5","-90.25"
"Andrew Fire","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Saul Perlmutter","United States","Nobel Prize in Physics","38","-97"
"Craig Mello","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Eric Allin Cornell","United States","Nobel Prize in Physics","38","-97"
"Brian Schmidt","Australia","Nobel Prize in Physics","-27","133"
"Leymah Gbowee","Liberia","Nobel Peace Prize","6.5","-9.5"
"Konstantin Novoselov","Russian Federation","Nobel Prize in Physics","60","100"
"Tawakkol Karman","Yemen","Nobel Peace Prize","15","48"
"Holly Walsh","United Kingdom","Nobel Prize in Physics","54","-2"
