"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","Ronald George Wreyford Norrish","{Royal Society|Nobel Prize in Chemistry}","1897-11-09","1897-01-01T00:00:00+02:00","{England|Cambridge|United Kingdom}","1978-06-07","{England|Cambridge|United Kingdom}","NULL","United Kingdom","NULL","University of Cambridge","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WorldWarIPrisonersOfWar|Acquirer109764201|Adult109605289|AlumniOfEmmanuelCollegeCambridge|Alumnus109786338|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Prisoner110476086|PrisonerOfWar110476331|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|EnglishChemists|FaradayLecturers|FellowsOfEmmanuelCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleEducatedAtThePerseSchool|PeopleFromCambridge|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","John Franklin Enders","Nobel Prize in Physiology or Medicine","1897-02-10","1897-01-01T00:00:00+02:00","West Hartford Connecticut","1985-09-08","Waterford Connecticut","NULL","NULL","NULL","Yale University","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|UnitedStatesArmyAirForcesSoldiers|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanMedicalResearchers|AmericanNobelLaureates|AmericanScientists|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Soldier110622053|Whole100003553|Worker109632518|YagoLegalActorGeo|EnlistedPerson110058777|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|St.Paul'sSchool(ConcordNewHampshire)Alumni|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWestHartfordConnecticut|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Odd Hassel","Nobel Prize in Chemistry","1897-05-17","1897-01-01T00:00:00+02:00","{Norway|Oslo}","1981-05-11","NULL","NULL","Norway","NULL","University of Oslo","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GriniConcentrationCampSurvivors|Acquirer109764201|BergConcentrationCampSurvivors|BredtveitConcentrationCampSurvivors|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|NorwegianChemists|NorwegianNobelLaureates|PeopleFromOslo|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Tadeus Reichstein","Nobel Prize in Physiology or Medicine","1897-07-20","1897-01-01T00:00:00+02:00","{Włocławek|Congress Poland}","1996-08-01","{Basel|Switzerland}","Switzerland","Poland","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishScientists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|PhysicalEntity100001930|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromJena|PeopleFromKiev|PeopleFromW%C5%82oc%C5%82awek|PolishChemists|PolishNobelLaureates|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Cyril Norman Hinshelwood","Cyril Norman Hinshelwood","{Royal Society|Nobel Prize in Chemistry}","1897-06-19","1897-01-01T00:00:00+02:00","{England|London}","1967-10-09","NULL","NULL","NULL","NULL","Balliol College Oxford","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|AlumniOfBalliolCollegeOxford|Alumnus109786338|Associate109816771|BritishAcademics|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Medalist110304914|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishChemists|EnglishPhysicists|FaradayLecturers|FellowsOfTheRoyalSociety|FellowsOfTrinityCollegeOxford|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInChemistry|PeopleEducatedAtWestminsterCitySchool|PeopleFromLondon|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Israel Isaac Rabi","Isidor Isaac Rabi","{Public Welfare Medal|Nobel Prize in Physics|Elliott Cresson Medal|Medal for Merit}","1898-07-29","1898-01-01T00:00:00+02:00","{Austria-Hungary|Kingdom of Galicia and Lodomeria|Rymanów}","1988-01-11","NULL","NULL","NULL","NULL","{Columbia University|Cornell University}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|JewishInventors|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPeopleOfPolishDescent|AmericanPhysicists|Austro-HungarianNobelLaureates|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|CornellUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromRyman%C3%B3w|PolishNobelLaureates|PolishNuclearPhysicists|PolishPhysicists|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Gunnar Myrdal","Nobel Memorial Prize in Economic Sciences","1898-12-06","1898-01-01T00:00:00+02:00","{Sweden|Dalarna}","1987-05-17","{Sweden|Danderyd Municipality}","NULL","Sweden","NULL","Stockholm University","{Economics|Politics|Sociology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Politician110451263|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|DevelopmentEconomists|PhysicalEntity100001930|StockholmUniversityAlumni|SwedishEconomists|SwedishNobelLaureates|SwedishSocialDemocraticPartyPoliticians|NobelLaureatesInEconomics|PeopleFromOrsaMunicipality|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"Howard Walter Florey","Howard Florey","{Knight Bachelor|Royal Society|Nobel Prize in Physiology or Medicine|Lister Medal}","1898-09-24","1898-01-01T00:00:00+02:00","{Adelaide|South Australia}","1968-02-21","Oxford","NULL","NULL","NULL","{Magdalen College Oxford|University of Adelaide}","{Immunology|Bacteriology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LifePeers|AcademicAdministrator109758885|Academician109759069|AcademicsOfTheUniversityOfSheffield|Acquirer109764201|Administrator109770949|Adult109605289|Agnostic109779124|AlumniOfMagdalenCollegeOxford|Alumnus109786338|Aristocrat109807754|Associate109816771|AustralianAgnostics|AustralianKnights|AustralianNobelLaureates|AustralianPathologists|AustralianPeers|AustralianPharmacologists|AustralianRhodesScholars|AustralianScientists|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diagnostician110011074|Doctor110020890|Educator110045713|Golfer110136959|Head110162991|HeadOfState110164747|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Pharmacist110421470|Pharmacologist110421753|Player110439851|President110467179|Professional110480253|Provost110486468|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfLincolnCollegeOxford|FellowsOfTheQueen'sCollegeOxford|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|MedicalPractitioner110305802|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|ProvostsOfTheQueen'sCollegeOxford|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtStPeter'sCollegeAdelaide|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Karl Ziegler","{Nobel Prize in Chemistry|Werner von Siemens Ring|Liebig Medal|War Merit Cross}","1898-11-26","1898-01-01T00:00:00+02:00","{German Empire|Helsa}","1973-08-12","{West Germany|Mülheim}","NULL","NULL","NULL","University of Marburg","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHesse-Nassau|PolymerScientistsAndEngineers|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Friedrich Hayek","{Presidential Medal of Freedom|Nobel Memorial Prize in Economic Sciences}","1899-05-08","1899-01-01T00:00:00+02:00","{Austria-Hungary|Vienna}","1992-03-23","{Germany|Freiburg im Breisgau}","NULL","United Kingdom","NULL","{University of Vienna|Doctor of law|Doctorate}","{Economics|Political science|Psychology|Philosophy|Law}","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HeterodoxEconomists|HistoriansOfEconomicThought|LibertarianEconomists|LibertarianHistorians|20th-centuryAustrianPeople|20th-centuryPhilosophers|Academician109759069|AcademicsOfTheLondonSchoolOfEconomics|Acquirer109764201|Adult109605289|Advocate109774783|AustrianEconomists|AustrianLibertarians|AustrianNobelLaureates|AustrianPeopleOfMoravian-GermanDescent|AustrianPhilosophers|AustrianSchoolEconomists|BritishEconomists|BritishLibertarians|BritishNobelLaureates|CausalAgent100007347|Citizen109923673|Economist110043643|Educator110045713|Historian110177150|Honoree110183757|Intellectual109621545|Laureate110249011|Liberal110256756|Libertarian110257524|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Philosopher110423589|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|ClassicalLiberals|National109625401|PhysicalEntity100001930|NaturalisedCitizensOfTheUnitedKingdom|NobelLaureatesInEconomics|PeopleAssociatedWithTheLondonSchoolOfEconomics|PeopleFromVienna|PhilosophersOfLaw|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Fritz Albert Lipmann","Nobel Prize in Physiology or Medicine","1899-06-12","1899-01-01T00:00:00+02:00","{Germany|Königsberg}","1986-07-24","Poughkeepsie New York","NULL","NULL","NULL","{Humboldt University of Berlin|University of Königsberg|Kaiser Wilhelm Society|Ludwig Maximilian University of Munich}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanEmigrantsToTheUnitedStates|GermanNobelLaureates|JewishAmericanScientists|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AmericanPeopleOfGerman-JewishDescent|Biochemist109854915|CausalAgent100007347|Chemist109913824|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|PhysicalEntity100001930|RockefellerUniversityPeople|NobelLaureatesInPhysiologyOrMedicine|PeopleFromEastPrussia|PeopleFromK%C3%B6nigsberg|PeopleFromKaliningrad|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Georg von Békésy","Nobel Prize in Physiology or Medicine","1899-06-03","1899-01-01T00:00:00+02:00","{Hungary|Budapest}","1972-06-13","{Hawaii|Honolulu|United States}","NULL","Hungary","NULL","NULL","Biophysics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HungarianNeuroscientists|HungarianNobelLaureates|HungarianPhysicists|HungarianScientists|Acquirer109764201|AustrianPeopleOfHungarianDescent|Biologist109855630|Biophysicist109856267|Biophysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBudapest|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Paul Hermann Müller","Nobel Prize in Physiology or Medicine","1899-01-12","1899-01-01T00:00:00+02:00","{Switzerland|Olten|Solothurn}","1965-10-12","{Basel|Switzerland}","NULL","Switzerland","NULL","University of Basel","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwissChemists|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromTheCantonOfSolothurn|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Albert Claude","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine|Paul Ehrlich and Ludwig Darmstaedter Prize}","1899-08-24","1899-01-01T00:00:00+02:00","Neufchâteau Belgium","1983-05-22","{Belgium|Brussels}","{Belgium|United States nationality law}","Belgium","NULL","University of Liège","Cell biology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|AmericanPeopleOfBelgianDescent|BelgianAcademics|BelgianBiologists|BelgianNobelLaureates|BelgianScientists|Biologist109855630|CausalAgent100007347|Educator110045713|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Frank Macfarlane Burnet","Nobel Prize in Physiology or Medicine","1899-09-03","1899-01-01T00:00:00+02:00","Traralgon","1985-08-31","Port Fairy","NULL","Australia","NULL","NULL","Virology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|KnightsOfTheOrderOfAustralia|MedicalDoctorsFromMelbourne|Acquirer109764201|Adult109605289|Agnostic109779124|AlumniOfTheUniversityOfLondon|Alumnus109786338|Aristocrat109807754|Associate109816771|AustralianAgnostics|AustralianImmunologists|AustralianKnights|AustralianMedicalResearchers|AustralianNobelLaureates|AustralianPeopleOfScottishDescent|AustralianVirologists|Biologist109855630|CausalAgent100007347|Colleague109935990|Contestant109613191|Doctor110020890|Golfer110136959|HealthProfessional110165109|Honoree110183757|Immunologist110199902|Intellectual109621545|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Microbiologist110313580|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Professional110480253|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Virologist110755394|Whole100003553|Worker109632518|YagoLegalActorGeo|FellowsOfTheAustralianAcademyOfScience|FellowsOfTheRoyalSociety|MaleAristocrat110285135|MedicalPractitioner110305802|MedicalScientist110306004|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtTheGeelongCollege|PeopleFromTheCityOfLatrobe|PhageWorkers|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Max Theiler","Nobel Prize in Physiology or Medicine","1899-01-30","1899-01-01T00:00:00+02:00","{Pretoria|South African Republic|South Africa}","1972-08-11","{New Haven Connecticut|United States}","NULL","South Africa","NULL","NULL","Virology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WhiteSouthAfricanPeople|Academician109759069|Acquirer109764201|Adult109605289|AlumniOfKing'sCollegeLondon|Alumnus109786338|AmericanNobelLaureates|AmericanVirologists|Biologist109855630|CausalAgent100007347|Educator110045713|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Virologist110755394|Whole100003553|YagoLegalActorGeo|Migrant110314952|PhysicalEntity100001930|RhodesUniversityAcademics|RhodesUniversityAlumni|SouthAfricanEmigrantsToTheUnitedStates|SouthAfricanNobelLaureates|SouthAfricanScientists|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
