"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_labeldeathDate","deathPlace_label","citizenship_label","nationality_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label"
"NULL","Jean Dausset","{Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","1916-10-19","1916-01-01T00:00:00+02:00","NULL","{Spain|Majorca|Palma Majorca}","NULL","France","NULL","Immunology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|CausalAgent100007347|Honoree110183757|Immunologist110199902|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchImmunologists|FrenchNobelLaureates|FrenchScientists|MedicalScientist110306004|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromToulouse|YagoLegalActor}"
"Francis Harry Compton Crick","Francis Crick","Nobel Prize in Physiology or Medicine","1916-06-08","1916-01-01T00:00:00+02:00","NULL","{California|San Diego}","NULL","NULL","{Northampton School for Boys|Gonville and Caius College Cambridge|University College London|Churchill College Cambridge|Mill Hill School}","{Molecular biology|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GenitalIntegrityActivists|Materialist110300963|Materialists|Acquirer109764201|Agnostic109779124|AlumniOfGonvilleAndCaiusCollegeCambridge|AlumniOfUniversityCollegeLondon|Alumnus109786338|Associate109816771|Biologist109855630|Biophysicist109856267|Biophysicists|BritishNeuroscientists|BritishNobelLaureates|Capitalist109609232|CausalAgent100007347|Colleague109935990|Contestant109613191|Disputant109615465|Geneticist110126424|Golfer110136959|Honoree110183757|Humanist110191192|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|Militant110315837|Neuroscientist110354580|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|Recipient109627906|Reformer110515194|ResearchWorker110523076|Scholar110557854|Scientist110560637|Skeptic110604634|Whole100003553|Worker109632518|YagoLegalActorGeo|ConsciousnessResearchersAndTheorists|EnglishAgnostics|EnglishGeneticists|EnglishHumanists|EnglishNeuroscientists|EnglishSceptics|FellowsOfChurchillCollegeCambridge|FellowsOfTheRoyalSociety|MolecularBiologist110327143|PhysicalEntity100001930|RoyalMedalWinners|SleepResearchers|MolecularBiologists|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleAssociatedWithUniversityCollegeLondon|PeopleEducatedAtMillHillSchool|PeopleEducatedAtNorthamptonSchoolForBoys|PeopleFromNorthampton|PhageWorkers|YagoLegalActor}"
"NULL","Maurice Wilkins","Nobel Prize in Physiology or Medicine","1916-12-15","1916-01-01T00:00:00+02:00","NULL","{London|United Kingdom|Blackheath London}","NULL","NULL","St John's College Cambridge","{Molecular biology|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|ManhattanProjectPeople|Academician109759069|AcademicsOfKing'sCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfStJohn'sCollegeCambridge|AlumniOfTheUniversityOfBirmingham|Alumnus109786338|Associate109816771|Biologist109855630|Biophysicist109856267|Biophysicists|BritishNobelLaureates|BritishPhysicists|CausalAgent100007347|Citizen109923673|Colleague109935990|CommandingOfficer109941964|Creator109614315|Educator110045713|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Pioneer110434725|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Traveler109629752|Whole100003553|Worker109632518|YagoLegalActorGeo|CommandersOfTheOrderOfTheBritishEmpire|EnglishPhysicists|FellowsOfKing'sCollegeLondon|FellowsOfTheRoyalSociety|Migrant110314952|MolecularBiologist110327143|National109625401|Originator110383816|PhysicalEntity100001930|RadarPioneers|MolecularBiologists|NaturalisedCitizensOfTheUnitedKingdom|NewZealandEmigrantsToTheUnitedKingdom|NewZealandScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtKingEdward'sSchoolBirmingham|YagoLegalActor}"
"Christian Boehmer Anfinsen Jr.","Christian B. Anfinsen","Nobel Prize in Chemistry","1916-03-26","1916-01-01T00:00:00+02:00","NULL","Randallstown Maryland","NULL","NULL","{Harvard Medical School|University of Pennsylvania|Swarthmore College}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardMedicalSchoolAlumni|JewishAmericanScientists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPeopleOfNorwegianDescent|Associate109816771|Athlete109820263|Biophysicist109856267|Biophysicists|CausalAgent100007347|Colleague109935990|Contestant109613191|Convert109962414|FootballPlayer110101634|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ConvertsToJudaismFromAtheismOrAgnosticism|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|SwarthmoreCollegeAlumni|SwarthmoreGarnetTideFootballPlayers|NobelLaureatesInChemistry|PeopleFromMonessenPennsylvania|YagoLegalActor}"
"NULL","Rodney Robert Porter","Nobel Prize in Physiology or Medicine","1917-10-08","1917-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{University of Liverpool|University of Cambridge}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|AcademicsOfImperialCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfTheUniversityOfLiverpool|Alumnus109786338|Associate109816771|Biochemist109854915|Biologist109855630|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Contestant109613191|Educator110045713|Golfer110136959|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|Object100002684|Organism100004475|Peer109626238|Person100007846|Physiologist110429965|Player110439851|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishBiochemists|EnglishPhysiologists|FellowsOfTheRoyalSociety|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleFromNewton-le-Willows|YagoLegalActor}"
"Herbert Aaron Hauptman","Herbert A. Hauptman","Nobel Prize in Chemistry","1917-02-14","1917-01-01T00:00:00+02:00","NULL","Buffalo New York","NULL","United States","University of Maryland College Park","Mathematics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|20th-centuryMathematicians|Acquirer109764201|Alumnus109786338|AmericanAtheists|AmericanChemists|AmericanMathematicians|AmericanNobelLaureates|Atheist109820044|CausalAgent100007347|Chemist109913824|Disbeliever110015897|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Mathematician110301261|NonreligiousPerson109625789|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInChemistry|PhysicalChemists|YagoLegalActor}"
"NULL","James Rainwater","Nobel Prize in Physics","1917-12-09","1917-01-01T00:00:00+02:00","NULL","New York City","NULL","NULL","{California Institute of Technology|Columbia University}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromAdamsCountyIdaho|YagoLegalActor}"
"John Warcup Cornforth Jr.","John Cornforth","{Royal Society|Nobel Prize in Chemistry|Copley Medal|Royal Medal|Corday–Morgan Medal}","1917-09-07","1917-01-01T00:00:00+02:00","NULL","{England|Sussex|United Kingdom}","{United Kingdom|Australia}","Australians","{University of Sydney|St Catherine's College Oxford}","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|AlumniOfStCatherine'sCollegeOxford|Alumnus109786338|Aristocrat109807754|Associate109816771|AustralianChemists|AustralianKnights|AustralianNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|CommandingOfficer109941964|Contestant109613191|Friend110112591|Golfer110136959|Honoree110183757|Intellectual109621545|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|MilitaryOfficer110317007|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|CommandersOfTheOrderOfTheBritishEmpire|Companion109945905|CompanionsOfTheOrderOfAustralia|DeafPeople|DeafPerson109996481|FellowsOfTheRoyalSociety|MaleAristocrat110285135|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInChemistry|PeopleEducatedAtSydneyBoysHighSchool|PeopleFromSydney|YagoLegalActor}"
"NULL","John Fenn (chemist)","Nobel Prize in Chemistry","1917-06-15","1917-01-01T00:00:00+02:00","NULL","{Richmond Virginia|Virginia|United States}","NULL","United States","{Berea College|Yale University}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|BereaCollegeAlumni|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHackensackNewJersey|PeopleFromMadisonCountyKentucky|PeopleFromNewYorkCity|YagoLegalActor}"
"NULL","John Kendrew","Nobel Prize in Chemistry","1917-03-24","1917-01-01T00:00:00+02:00","NULL","{England|Cambridge}","NULL","United Kingdom","University of Cambridge","Crystallography","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|TrusteesOfTheBritishMuseum|Acquirer109764201|AlumniOfTrinityCollegeCambridge|Alumnus109786338|Associate109816771|Biologist109855630|Biophysicist109856267|Biophysicists|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|CommandingOfficer109941964|Communicator109610660|Contestant109613191|Expert109617867|Fiduciary110086074|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|MilitaryOfficer110317007|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Specialist110631941|Trustee110732314|Whole100003553|Worker109632518|YagoLegalActorGeo|CommandersOfTheOrderOfTheBritishEmpire|Crystallographer109981740|Crystallographers|EnglishBiologists|FellowsOfTheRoyalSociety|MolecularBiologist110327143|PhysicalEntity100001930|PresidentsOfStJohn'sCollegeOxford|PresidentsOfTheBritishScienceAssociation|RoyalMedalWinners|MolecularBiologists|NobelLaureatesInChemistry|PeopleEducatedAtTheDragonSchool|PeopleFromOxford|YagoLegalActor}"
"Andrew Fielding Huxley","Andrew Huxley","{Nobel Prize in Physiology or Medicine|Copley Medal}","1917-11-22","1917-01-01T00:00:00+02:00","NULL","{England|Cambridge|Grantchester}","United Kingdom","NULL","Trinity College Cambridge","{Physiology|Biophysics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|FullerianProfessorsOfPhysiology|HonoraryFellowsOfDarwinCollegeCambridge|LivingPeople|MastersOfTrinityCollegeCambridge|Academician109759069|AcademicsOfUniversityCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfTrinityCollegeCambridge|Alumnus109786338|Artist109812338|Associate109816771|Biologist109855630|Biophysicist109856267|Biophysicists|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Creator109614315|Educator110045713|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Maestro110280130|Negotiator110351874|Neuroscientist110354580|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|President110467179|Professional110480253|Professor110480730|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishNeuroscientists|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheRoyalSociety|SystemsBiologists|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
"NULL","Leonid Hurwicz","{National Medal of Science|Nobel Memorial Prize in Economic Sciences}","1917-08-21","1917-01-01T00:00:00+02:00","NULL","{Minneapolis|United States}","NULL","Poland","{University of Warsaw|Graduate Institute of International and Development Studies|London School of Economics}","NULL","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GuggenheimFellows|HarvardUniversityAlumni|InformationEconomists|JewishAmericanScientists|Acquirer109764201|AlumniOfTheLondonSchoolOfEconomics|Alumnus109786338|AmericanEconomists|AmericanNobelLaureates|AmericanPeopleOfPolish-JewishDescent|AmericanPeopleOfRussian-JewishDescent|Associate109816771|CausalAgent100007347|Colleague109935990|Economist110043643|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Traveler109629752|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheEconometricSociety|Migrant110314952|PhysicalEntity100001930|RussianPeopleOfPolishDescent|NobelLaureatesInEconomics|PeopleFromMinneapolisMinnesota|PolishEmigrantsToTheUnitedStates|YagoLegalActor}"
"Ilya Romanovich Prigogine","Ilya Prigogine","Nobel Prize in Chemistry","1917-01-25","1917-01-01T00:00:00+02:00","NULL","{Belgium|Brussels}","NULL","Belgium","Université libre de Bruxelles","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishScientists|TheoreticalChemists|ViscountsOfBelgium|Academician109759069|Acquirer109764201|Adult109605289|Aristocrat109807754|BelgianAcademics|BelgianChemists|BelgianNobelLaureates|BelgianPhysicists|BelgianScientists|CausalAgent100007347|Chemist109913824|Citizen109923673|Educator110045713|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Noble110271677|Object100002684|Organism100004475|Person100007846|Physicist110428004|Professional110480253|Recipient109627906|Scientist110560637|Viscount110756148|Whole100003553|YagoLegalActorGeo|ComplexSystemsScientists|MaleAristocrat110285135|National109625401|PhysicalEntity100001930|RussianAcademics|RussianChemists|RussianPhysicists|RussianScientists|SystemsScientists|NaturalisedCitizensOfBelgium|NobelLaureatesInChemistry|PeopleFromMoscow|YagoLegalActor}"
"NULL","Christian de Duve","{Nobel Prize in Physiology or Medicine|Francqui Prize}","1917-10-02","1917-01-01T00:00:00+02:00","NULL","{Belgium|Grez-Doiceau}","NULL","NULL","Catholic University of Leuven (1834–1968)","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Academician109759069|Acquirer109764201|Adult109605289|AlumniOfTheCatholicUniversityOfLeuvenBefore1968|Alumnus109786338|BelgianAcademics|BelgianNobelLaureates|BelgianScientists|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromThamesDitton|YagoLegalActor}"
"NULL","William Standish Knowles","Nobel Prize in Chemistry","1917-06-01","1917-01-01T00:00:00+02:00","NULL","{Chesterfield Missouri|United States}","NULL","NULL","{Columbia University|Harvard University}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromTauntonMassachusetts|YagoLegalActor}"
"NULL","Ernst Otto Fischer","Nobel Prize in Chemistry","1918-11-10","1918-01-01T00:00:00+02:00","NULL","{Germany|Munich}","NULL","Germany","Technische Universität München","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|InorganicChemists|TechnicalUniversityMunichAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|YagoLegalActor}"
"NULL","Frederick Reines","{Franklin Medal|Nobel Prize in Physics}","1918-03-16","1918-01-01T00:00:00+02:00","NULL","NULL","United States","NULL","NULL","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Defender109614684|Guard110150071|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Lookout110271216|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Watchman110770059|Whole100003553|YagoLegalActorGeo|EagleScouts|PhysicalEntity100001930|Preserver110466918|NewYorkUniversityAlumni|NobelLaureatesInPhysics|PeopleFromNewYork|PeopleFromPatersonNewJersey|PeopleFromUnionCityNewJersey|YagoLegalActor}"
"NULL","Paul D. Boyer","{Tolman Award|Nobel Prize in Chemistry}","1918-07-31","1918-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Brigham Young University|University of Wisconsin–Madison}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GuggenheimFellows|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanAtheists|AmericanBiochemists|AmericanNobelLaureates|Associate109816771|Atheist109820044|Biochemist109854915|BrighamYoungUniversityAlumni|CausalAgent100007347|Chemist109913824|Colleague109935990|Disbeliever110015897|GoodPerson110138767|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Saint110546850|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FormerLatterDaySaints|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromProvoUtah|YagoLegalActor}"
"NULL","Derek Barton","{Nobel Prize in Chemistry|Copley Medal|Priestley Medal}","1918-09-08","1918-01-01T00:00:00+02:00","NULL","{College Station Texas|United States}","NULL","English people","Imperial College London","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|AcademicsOfBirkbeckUniversityOfLondon|AcademicsOfImperialCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfImperialCollegeLondon|Alumnus109786338|Associate109816771|BritishChemists|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Contestant109613191|Educator110045713|Golfer110136959|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheRoyalSociety|FellowsOfTheRoyalSocietyOfEdinburgh|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInChemistry|OrganicChemists|PeopleEducatedAtTonbridgeSchool|PhysicalChemists|YagoLegalActor}"
"NULL","James Tobin","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","1918-03-05","1918-01-01T00:00:00+02:00","NULL","{New Haven Connecticut|United States}","NULL","United States","Harvard University","Macroeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HarvardUniversityAlumni|UnitedStatesNavyOfficers|UniversityLaboratoryHighSchool(UrbanaIllinois)Alumni|Acquirer109764201|Alumnus109786338|AmericanEconomists|AmericanNobelLaureates|Associate109816771|CausalAgent100007347|Colleague109935990|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|SocialScientist110619642|Whole100003553|Worker109632518|YagoLegalActorGeo|FellowsOfTheAmericanStatisticalAssociation|PhysicalEntity100001930|Neo-KeynesianEconomists|NobelLaureatesInEconomics|PeopleFromChampaignIllinois|PeopleFromNewHavenConnecticut|YagoLegalActor}"
"NULL","Edward B. Lewis","Nobel Prize in Physiology or Medicine","1918-05-20","1918-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","California Institute of Technology","Genetics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|AmericanBiologists|AmericanGeneticists|AmericanNobelLaureates|Biologist109855630|BucknellUniversityAlumni|CausalAgent100007347|Geneticist110126424|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|RadiationHealthEffectsResearchers|NobelLaureatesInPhysiologyOrMedicine|PeopleFromTheScranton%E2%80%93Wilkes-BarreMetropolitanArea|PeopleFromWilkes-BarrePennsylvania|YagoLegalActor}"
"NULL","Edwin G. Krebs","Nobel Prize in Physiology or Medicine","1918-06-06","1918-01-01T00:00:00+02:00","NULL","Seattle","NULL","United States","{Washington University in St. Louis|University of Illinois at Urbana–Champaign}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBondCountyIllinois|PeopleFromUrbanaIllinois|YagoLegalActor}"
"NULL","Kai Siegbahn","Nobel Prize in Physics","1918-04-20","1918-01-01T00:00:00+02:00","NULL","{Sweden|Ängelholm}","NULL","Sweden","Stockholm University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|StockholmUniversityAlumni|SwedishNobelLaureates|SwedishPhysicists|NobelLaureatesInPhysics|PeopleFromLund|YagoLegalActor}"
"NULL","Arthur Kornberg","{Royal Society|Pfizer Award in Enzyme Chemistry|Nobel Prize in Physiology or Medicine|National Medal of Science|Gairdner Foundation International Award}","1918-03-03","1918-01-01T00:00:00+02:00","NULL","{Stanford University|United States}","NULL","NULL","University of Rochester","Molecular biology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|AbrahamLincolnHighSchool(BrooklynNewYork)Alumni|Acquirer109764201|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|OrthodoxJewishScientists|PeopleFromNewYorkCity|YagoLegalActor}"
"NULL","Aleksandr Solzhenitsyn","Nobel Prize in Literature","1918-12-11","1918-01-01T00:00:00+02:00","NULL","{Moscow|Russia}","{Russia|Soviet Union|Statelessness}","NULL","Southern Federal University","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|GulagDetainees|HarvardUniversityPeople|TempletonPrizeLaureates|Absentee109757653|Acquirer109764201|Adult109605289|Benefactor109608709|CancerSurvivors|CausalAgent100007347|Communicator109610660|Conservative109957156|Convert109962414|Detainee110009162|Dissenter110018021|Employee110053808|Exile110071332|GoodPerson110138767|Honoree110183757|Humanitarian110191613|Inhabitant109620078|Inmate110207370|Intellectual109621545|Laborer110241300|Laureate110249011|LivingThing100004258|Miner110319796|Monarchist110327824|Novelist110363573|Object100002684|Organism100004475|Person100007846|Philosopher110423589|Prisoner110476086|Recipient109627906|Scholar110557854|Survivor110681194|Traveler109629752|Unfortunate109630641|Whole100003553|Worker109632518|Workman110791221|Writer110794014|YagoLegalActorGeo|ChristianPhilosophers|ChristianWriters|ConvertsToEasternOrthodoxyFromAtheismOrAgnosticism|PhysicalEntity100001930|Resident110523519|Rightist110531227|RussianExiles|RussianExpatriatesInTheUnitedStates|RussianHumanitarians|RussianMonarchists|RussianNobelLaureates|RussianNovelists|RussianPrisonersAndDetainees|RussianShortStoryWriters|SharashkaInmates|SovietDissidents|SovietMiners|SovietNon-fictionWriters|SovietNovelists|SovietPrisonersAndDetainees|SovietShortStoryWriters|StalinismEraScholarsAndWriters|NobelLaureatesInLiterature|PeopleFromKislovodsk|YagoLegalActor}"
